,RBM15,CPSF6,FASTKD2,TIAL1,LIN28B,DGCR8,SMNDC1,KHSRP,PCBP1,HNRNPC,RBFOX2,SSB,IGF2BP1,HuR,RPS3,DROSHA,DDX6,ADAR1,TRA2A,SAFA,PUM1_Bethyl,IMP3,PUM1_CST,UPF1,LSM11,TAF15,U2AF1,LARP4,AQR,PTBP1,Empty,V5,SAFB,LARP1,LBR,ILF3,HNRNPL_CST,SRSF9,SLBP,LARP7,SHARP,GFP,IgG,BUD13,PCBP2,HNRNPK,WDR43,FUS,EWSR1,DDX55,HNRNPA1,FUBP3,IGF2BP2,HNRNPM,TARDBP,DHX30,NOLC1,HNRNPL_Bethyl
LSM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAF15,0,6,0,0,1,0,0,0,0,4,0,0,0,4,0,4,0,0,0,4,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
U2AF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARP4,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQR,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTBP1,0,6,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,1,6,0,5,0,6,6,0,0,6,0,0,0,0,0,4,0,4,0,0,0,0,0,6,0,0,0,0,6,0,0,6,0,4,6,0,0,0
SAFB,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,0
LARP1,6,4,0,6,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,4,6,0,6,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,6,0,4,6,0,4,0
LBR,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0
ILF3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,3,0,6,1,0,0,4,0,0,0,6,0,4,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,6,0,6,6,0,0,0
HNRNPL,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
