,BUD13,DGCR8,DROSHA,EWSR1,FASTKD2,FUS,HNRNPA1,HNRNPC,HNRNPK,HNRNPM,IGF2BP1,IGF2BP2,ILF3,KHSRP,LARP7,LIN28B,LSM11,NOLC1,PTBP1,RBFOX2,RBM15,RPS3,SAFB,SLBP,SSB,TAF15,TARDBP,TRA2A,U2AF1,UPF1
miRNA,0.23849272597185783,28.109854604200322,2.9758850692662904,0.06815858230148812,1.9834710743801653,0.11603620329542817,0.0,0.17953321364452424,0.0,0.015610365282547613,0.01779042874933286,0.10471204188481677,0.10141987829614604,0.030799014431538194,0.7662835249042145,0.33933313661847153,0.15071590052750566,0.06455777921239508,0.03951527924130664,0.14442518775274407,0.12921287821686228,0.041718815185648725,0.0,0.0,0.6134969325153374,0.17825311942959002,0.02931691586045148,0.05777007510109763,0.08130081300813008,0.04460303300624443
5utr,3.195802528022895,4.846526655896607,11.775269368907132,3.862319663750994,10.578512396694215,3.9684381527036434,3.614457831325301,2.154398563734291,4.243421052631579,3.3562285357477366,0.7294075787226472,4.712041884816754,2.0622041920216363,0.6159802886307638,1.1494252873563218,1.209796400118029,3.6925395629238884,2.3886378308586185,1.2644889357218125,3.2062391681109186,9.809411004630128,6.591572799332498,0.9881422924901186,0.6369426751592357,3.067484662576687,2.6737967914438503,1.4365288771621225,1.2131715771230502,3.983739837398374,0.4608980077311924
noncoding_exon,2.039112807059385,5.654281098546042,4.797331965110313,4.328069976144496,10.743801652892563,10.21118588999768,9.036144578313253,7.1813285457809695,5.855263157894737,3.1220730565095223,1.9747375911759475,1.4659685863874345,4.192021636240703,2.8731080605420627,92.33716475095785,1.5048686928297432,7.837226827430293,5.551969012265978,7.56059009483667,4.592720970537262,4.404005599224723,0.5006257822277848,23.122529644268774,7.006369426751593,51.533742331288344,13.19073083778966,4.5441219583699795,9.358752166377817,5.609756097560976,1.8435920309247695
3utr,1.1566897209635105,2.9079159935379644,2.5654181631605955,1.0678177893899807,8.099173553719009,4.757484335112555,8.433734939759036,22.621184919210055,9.44078947368421,1.7639712769278801,56.929371997865154,41.361256544502616,5.949966193373902,5.086237240408307,2.681992337164751,22.61729123635291,13.639788997739261,52.743705616526796,4.478398314014752,5.574812247255921,9.62635942715624,3.170629954109303,0.9881422924901186,35.03184713375796,0.6134969325153374,1.4260249554367201,10.715332746995015,0.34662045060658575,6.666666666666667,91.0273565269105
CDS,67.50536608633436,7.269789983844912,12.057465366854798,1.5903669203680564,7.43801652892562,4.0612671153399855,2.4096385542168677,1.436265709156194,13.980263157894738,1.7171401810802371,35.84771392990571,49.58115183246073,3.2454361054766734,2.3407250967969024,0.7662835249042145,67.80761286515197,8.440090429540316,22.466107165913492,1.3171759747102214,7.0190641247833625,64.21880047378056,88.6107634543179,15.217391304347828,50.955414012738856,7.361963190184049,1.6042780748663104,2.154793315743184,86.48180242634315,59.10569105691057,3.56080880166518
